LakeID,depth,area
AL,0,1678997.1437981504
AL,1,1259639.0052972257
AL,2,815101.9483952486
AL,3,631029.7097563667
AL,4,566926.998117973
AL,5,466513.07329465187
AL,6,309487.0563536576
BM,0,3877620.037262008
BM,1,3544259.4474230814
BM,2,3128558.012228363
BM,3,2622212.4531545807
BM,4,2446596.433577727
BM,5,2278719.601952892
BM,6,2098899.9301875653
BM,7,1911475.7842270262
BM,8,1704269.647915
BM,9,1466105.221989262
BM,10,1237239.234672383
BM,11,1046855.6904744146
BM,12,930753.3837084463
BM,13,786216.3210871896
BM,14,639918.2441722074
BM,15,506215.1099065145
BM,16,363214.4495534162
BM,17,224426.88071257877
BM,18,108783.17805743325
BM,19,48312.6482043788
BM,20,15290.6903949239
BM,21,4431.726674407855
CB,0,3904.1942135271383
CB,1,3278.687943686239
CB,2,1778.2113692390612
CR,0,379176.1291961139
CR,1,357621.2560166708
CR,2,325966.0457061646
CR,3,283191.9768732278
CR,4,271761.5079642676
CR,5,263300.4443727404
CR,6,256695.78237957842
CR,7,249849.55898735893
CR,8,241794.69150961057
CR,9,231809.6799279226
CR,10,218430.66667525843
CR,11,202672.3242246356
CR,12,183275.44282396563
CR,13,161732.9315226958
CR,14,139847.6082070415
CR,15,118383.41550705043
CR,16,99450.40547719045
CR,17,81023.93315157684
CR,18,61649.6374439291
CR,19,39870.70254828866
CR,20,NA
SP,0,583110.1158837886
SP,1,548913.6081499256
SP,2,519694.02999884915
SP,3,495953.2566826048
SP,4,477347.8003406486
SP,5,456647.61971429834
SP,6,432801.9097459647
SP,7,410030.49735653214
SP,8,389256.2276689286
SP,9,371554.31577599485
SP,10,343728.51740162156
SP,11,315653.9195376112
SP,12,290505.4116052394
SP,13,266575.2316986857
SP,14,243346.1789939566
SP,15,221154.881341922
SP,16,174179.53898744337
SP,17,121128.25493238948
SP,18,73744.16338189697
TB,0,10809.402239693212
TB,1,10533.611182483695
TB,2,10257.820125274178
TB,3,9298.116763123946
TB,4,8183.589985973077
TB,5,7194.919246830335
TB,6,6202.44828501453
TB,7,3480.236912515965
TB,8,NA
TR,0,15555107.63761274
TR,1,15153191.729081502
TR,2,14751275.820550267
TR,3,14349359.91201903
TR,4,13660469.399624249
TR,5,12957109.579471644
TR,6,12253749.75931904
TR,7,11693771.6910626
TR,8,11149020.003538493
TR,9,10604268.316014389
TR,10,9896665.28504221
TR,11,9161666.700966617
TR,12,8426668.116891025
TR,13,7918104.354835783
TR,14,7463346.887122012
TR,15,7008589.419408241
TR,16,6636296.334878104
TR,17,6290044.634511219
TR,18,5943792.934144335
TR,19,5634800.697444769
TR,20,5340879.704475802
TR,21,5046958.711506837
TR,22,4703104.623244929
TR,23,4333983.1855576765
TR,24,3964861.7478704248
TR,25,3515972.361152971
TR,26,3017357.4997153925
TR,27,2518742.638277814
TR,28,2164827.960322639
TR,29,1920966.9430442234
TR,30,1677105.9257658073
TR,31,1359760.4674179507
TR,32,974583.2173136872
TR,33,589405.9672094237
TR,34,NA
ME,0,38798532.46711576
ME,1,37231441.232149065
ME,2,34010546.48549291
ME,3,31862421.323822185
ME,4,30143587.006950326
ME,5,28739657.0347645
ME,6,27727653.214207105
ME,7,27104613.67986929
ME,8,26533674.71116663
ME,9,25980348.02329596
ME,10,24831821.52620139
ME,11,23671855.593682535
ME,12,22690333.45746257
ME,13,21257632.201024022
ME,14,19754617.62351489
ME,15,18344626.469353136
ME,16,16479081.456795445
ME,17,14541989.945645802
ME,18,12838995.203748204
ME,19,10559278.460192181
ME,20,8065366.843937291
ME,21,5653890.2320021
ME,22,3623091.587834039
ME,23,1890916.0267242503
ME,24,809827.1672453214
MO,0,13884169.678675907
MO,1,12573619.807612408
MO,2,11372310.275245273
MO,3,10335835.733424984
MO,4,9642005.931643028
MO,5,9035739.63055322
MO,6,8523408.686749624
MO,7,7864583.485551159
MO,8,7279619.767079221
MO,9,6840549.219423266
MO,10,6068106.961577324
MO,11,5150532.48815707
MO,12,4053783.124604364
MO,13,3303714.5594454044
MO,14,2555078.7662111106
MO,15,1602365.769480302
MO,16,985268.390186974
MO,17,537084.3063484218
MO,18,292620.87516109843
MO,19,152877.07219858473
MO,20,67306.13814036766
MO,21,32763.21733269297
WI,0,1526529.1053455106
WI,1,1049843.249213089
WI,2,776846.7925121835
WI,3,322997.01485718647
WI,4,NA
